Terminal log file
Date: 13-06-2016 - 17:00:17
-----------------------------------------------
MPL115A1_Pressure;BMP180_Pressure;BMP180_Temperature
0;972934;26506
0;972944;26506
0;972934;26506
0;972954;26506
0;972864;26519
0;972825;26519
0;972864;26525
0;972904;26531
0;972894;26525
0;972874;26531
0;972844;26531
0;972904;26538
0;972864;26550
0;972844;26550
0;972844;26538
0;972884;26531
0;972944;26550
0;972815;26531
0;972874;26550
0;972904;26550
0;972844;26531
0;972825;26531
0;972825;26531
0;972874;26550
0;972894;26550
0;972844;26550
0;972874;26550
0;972894;26563
0;972884;26563
0;972944;26550
0;972954;26563
0;972884;26556
0;972934;26556
0;972894;26563
0;972864;26563
0;972854;26550
0;972914;26556
0;972854;26550
0;972864;26550
0;973023;26581
0;972924;26563
0;972934;26556
0;972894;26556
0;972874;26556
0;972854;26550
0;972864;26563
0;972954;26581
0;972914;26569
0;972834;26550
0;972834;26550
0;972785;26531
0;972894;26556
0;972864;26563
0;972864;26556
0;972894;26563
0;972874;26563
0;972834;26550
0;972884;26563
0;972884;26563
0;972884;26556
0;972825;26563
0;972864;26563
0;972884;26563
0;972884;26569
0;972864;26556
0;972914;26569
0;972834;26556
0;972884;26563
0;972904;26569
0;972884;26563
0;972854;26563
0;972874;26556
0;972894;26569
0;972844;26556
0;972894;26563
0;972834;26556
0;972864;26563
0;972815;26556
0;972785;26563
0;972864;26569
0;972825;26563
0;972844;26556
0;972884;26563
0;972894;26563
0;972864;26556
0;972834;26563
0;972874;26556
0;972864;26569
0;972834;26556
0;972844;26563
0;972834;26550
0;972884;26569
0;972864;26569
0;972934;26581
0;972884;26563
0;972914;26569
0;972904;26569
0;972815;26556
0;972884;26569
0;972834;26563
0;972864;26563
0;972834;26563
0;972924;26569
0;972864;26563
0;972844;26563
0;972854;26569
0;972864;26569
0;972884;26569
0;972864;26563
0;972904;26581
0;972844;26563
0;972874;26569
0;972844;26563
0;972834;26563
0;972815;26563
0;972884;26569
0;972904;26569
0;972825;26556
0;972874;26581
0;972884;26581
0;972854;26563
0;972854;26563
0;972834;26563
0;972854;26563
0;972884;26569
0;972864;26556
0;972864;26569
0;972834;26563
0;972844;26563
0;972864;26569
0;972884;26569
0;972904;26581
0;972765;26550
0;972825;26563
0;972805;26563
0;972805;26563
0;972825;26563
0;972825;26563
0;972805;26556
0;972924;26581
0;972834;26563
0;972844;26563
0;972844;26556
0;972844;26556
0;972834;26563
0;972854;26569
0;972854;26563
0;972924;26581
0;972924;26581
0;972795;26563
0;972844;26563
0;972874;26563
0;972854;26556
0;972894;26569
0;972825;26563
0;972864;26563
0;972864;26569
0;972825;26556
0;972815;26563
0;972815;26556
0;972825;26569
0;972894;26569
0;972854;26563
0;972854;26563
0;972825;26556
0;972924;26581
0;972854;26569
0;972815;26563
0;972834;26563
0;972844;26563
0;972854;26563
0;972934;26581
0;972834;26563
0;972834;26563
0;972924;26581
0;972805;26563
0;972864;26569
0;972874;26581
0;972815;26556
0;972894;26581
0;972844;26569
0;972854;26556
0;972874;26569
0;972864;26569
0;972854;26563
0;972874;26563
0;972894;26581
0;972884;26569
0;972874;26581
0;972864;26581
0;972795;26563
0;972805;26563
0;972785;26563
0;972825;26569
0;972854;26569
0;972825;26569
0;972874;26581
0;972894;26581
0;972864;26569
0;972795;26563
0;972765;26563
0;972825;26569
0;972874;26581
0;972785;26563
0;972815;26563
0;972825;26563
0;972924;26581
0;972854;26569
0;972874;26569
0;972914;26581
0;972894;26581
0;972755;26563
0;972874;26569
0;972894;26569
0;972884;26581
0;972815;26563
0;972924;26581
0;972834;26569
0;972825;26569
0;972795;26563
0;972785;26569
0;972834;26581
0;972785;26563
0;972884;26581
0;972944;26581
0;972844;26569
0;972904;26581
0;972914;26581
0;972844;26581
0;972844;26569
0;972864;26569
0;972884;26569
0;972834;26563
0;972904;26581
0;972785;26556
0;972874;26569
0;972904;26581
0;972844;26569
0;972805;26563
0;972775;26563
0;972844;26563
0;972864;26569
0;972854;26569
0;972815;26556
0;972805;26569
0;972884;26581
0;972805;26563
0;972874;26581
0;972864;26569
0;972805;26563
0;972834;26569
0;972815;26569
0;972834;26556
0;972864;26569
0;972924;26581
0;972874;26569
0;972795;26563
0;972904;26581
0;972874;26569
0;972904;26581
0;972815;26569
0;972815;26569
0;972844;26581
0;972815;26569
0;972825;26563
0;972884;26581
0;972795;26563
0;972795;26563
0;972815;26569
0;972904;26581
0;972834;26581
0;972825;26569
0;972874;26581
0;972765;26563
0;972884;26581
0;972864;26581
0;972795;26563
0;972874;26569
0;972834;26587
0;972795;26569
0;972954;26581
0;972825;26563
0;972864;26581
0;972874;26581
0;972854;26581
0;972884;26581
0;972864;26569
0;972785;26569
0;972834;26581
0;972834;26581
0;972795;26569
0;972795;26581
0;972884;26581
0;972815;26581
0;972884;26581
0;972854;26581
0;972904;26581
0;972864;26581
0;972785;26569
0;972795;26569
0;972785;26581
0;972815;26581
0;972825;26581
0;972815;26581
0;972864;26581
0;972834;26581
0;972834;26581
0;972805;26569
0;972844;26581
0;972815;26581
0;972775;26569
0;972825;26581
0;972805;26569
0;972825;26581
0;972805;26581
0;972874;26594
0;972815;26569
0;972815;26569
0;972844;26581
0;972825;26581
0;972805;26569
0;972864;26581
0;972844;26587
0;972755;26569
0;972795;26581
0;972844;26581
0;972834;26581
0;972795;26581
0;972785;26581
0;972775;26581
0;972795;26581
0;972795;26581
0;972775;26581
0;972805;26581
0;972785;26581
0;972795;26581
0;972755;26581
0;972755;26581
0;972815;26581
0;972805;26581
0;972815;26581
0;972775;26569
0;972815;26587
0;972795;26581
0;972825;26587
0;972785;26581
0;972785;26587
0;972775;26581
0;972795;26581
0;972805;26581
0;972825;26587
0;972815;26581
0;972795;26581
0;972795;26587
0;972834;26594
0;972815;26587
0;972805;26581
0;972815;26581
0;972825;26581
0;972795;26581
0;972745;26569
0;972795;26581
0;972795;26581
0;972815;26587
0;972795;26581
0;972834;26581
0;972795;26581
0;972834;26581
0;972765;26581
0;972815;26581
0;972795;26594
0;972805;26581
0;972795;26581
0;972825;26581
0;972834;26594
0;972844;26581
0;972834;26581
0;972825;26594
0;972825;26594
0;972795;26594
0;972825;26587
0;972834;26581
0;972834;26581
0;972815;26587
0;972815;26587
0;972805;26581
0;972795;26587
0;972795;26587
0;972864;26587
0;972844;26587
0;972795;26581
0;972815;26581
0;972825;26581
0;972815;26581
0;972844;26581
0;972815;26581
0;972825;26581
0;972825;26581
0;972805;26594
0;972775;26594
0;972854;26581
0;972844;26587
0;972795;26594
0;972815;26594
0;972785;26581
0;972834;26581
0;972795;26581
0;972795;26587
0;972834;26594
0;972805;26581
0;972934;26606
0;972805;26581
0;972755;26581
0;972815;26594
0;972805;26594
0;972834;26581
0;972825;26581
0;972775;26581
0;972834;26581
0;972825;26581
0;972805;26581
0;972765;26594
0;972874;26594
0;972785;26581
0;972795;26581
0;972795;26594
0;972785;26581
0;972805;26581
0;972805;26587
0;972825;26594
0;972894;26581
0;972795;26581
0;972815;26594
0;972785;26587
0;972815;26587
0;972864;26587
0;972834;26594
0;972805;26581
0;972795;26581
0;972815;26587
0;972815;26581
0;972854;26587
0;972815;26581
0;972834;26581
0;972795;26581
0;972834;26581
0;972825;26581
0;972844;26594
0;972815;26594
0;972844;26581
0;972815;26581
0;972815;26594
0;972825;26581
0;972815;26594
0;972825;26581
0;972795;26587
0;972815;26594
0;972825;26594
0;972805;26581
0;972765;26587
0;972825;26581
0;972815;26587
0;972795;26587
0;972795;26581
0;972795;26581
0;972854;26587
0;972834;26581
0;972785;26581
0;972815;26581
0;972795;26581
0;972854;26581
0;972825;26581
0;972805;26581
0;972795;26594
0;972844;26581
0;972844;26581
0;972805;26581
0;972825;26587
0;972815;26581
0;972834;26581
0;972914;26606
0;972815;26581
0;972864;26581
0;972825;26594
0;972834;26594
0;972805;26587
0;972815;26594
0;972815;26594
0;972815;26581
0;972795;26581
0;972805;26594
0;972795;26581
0;972795;26594
0;972834;26594
0;972795;26594
0;972844;26587
0;972785;26581
0;972795;26581
0;972825;26594
0;972795;26581
0;972795;26581
0;972765;26581
0;972795;26587
0;972815;26581
0;972785;26581
0;972844;26587
0;972825;26594
0;972874;26587
0;972795;26594
0;972815;26581
0;972844;26594
0;972815;26581
0;972795;26581
0;972765;26581
0;972864;26581
0;972825;26581
0;972755;26581
0;972815;26581
0;972805;26581
0;972815;26587
0;972844;26581
0;972834;26581
0;972884;26606
0;972815;26581
0;972854;26581
0;972834;26581
0;972874;26594
0;972825;26594
0;972844;26581
0;972904;26587
0;972894;26587
0;972825;26581
0;972785;26581
0;972884;26594
0;972844;26581
0;972844;26581
0;972815;26587
0;972825;26581
0;972785;26581
0;972805;26587
0;972844;26581
0;972825;26581
0;972795;26581
0;972805;26581
0;972825;26581
0;972795;26594
0;972844;26594
0;972834;26606
0;972844;26581
0;972815;26594
0;972834;26594
0;972795;26587
0;972815;26581
0;972755;26581
0;972765;26594
0;972805;26581
0;972755;26581
0;972795;26594
0;972765;26594
0;972755;26587
0;972785;26581
0;972755;26581
0;972755;26581
0;972726;26581
0;972755;26587
0;972765;26594
0;972745;26581
0;972805;26587
0;972805;26594
0;972775;26594
0;972755;26594
0;972825;26606
0;972805;26587
0;972785;26594
0;972834;26594
0;972775;26594
0;972785;26581
0;972785;26594
0;972834;26594
0;972785;26594
0;972775;26587
0;972775;26581
0;972785;26594
0;972795;26594
0;972844;26606
0;972755;26594
0;972795;26606
0;972825;26594
0;972785;26581
0;972815;26587
0;972775;26587
0;972755;26581
0;972785;26594
0;972795;26587
0;972785;26587
0;972785;26594
0;972795;26594
0;972785;26594
0;972765;26581
0;972755;26594
0;972736;26581
0;972775;26587
0;972785;26594
0;972795;26594
0;972785;26594
0;972775;26594
0;972726;26594
0;972795;26594
0;972785;26594
0;972775;26594
0;972785;26594
0;972765;26594
0;972785;26606
0;972785;26581
0;972736;26606
0;972745;26594
0;972815;26606
0;972825;26606
0;972726;26594
0;972795;26606
0;972765;26581
0;972736;26581
0;972795;26606
0;972844;26612
0;972825;26606
0;972834;26606
0;972765;26594
0;972755;26594
0;972736;26594
0;972834;26606
0;972844;26606
0;972844;26606
0;972834;26606
0;972805;26606
0;972765;26594
0;972755;26594
0;972765;26594
0;972736;26594
0;972834;26612
0;972785;26606
0;972765;26594
0;972775;26594
0;972726;26581
0;972785;26606
0;972745;26606
0;972815;26606
0;972805;26606
0;972795;26606
0;972736;26594
0;972755;26606
0;972775;26606
0;972785;26606
0;972805;26619
0;972765;26606
0;972755;26606
0;972785;26606
0;972745;26594
0;972834;26612
0;972785;26606
0;972785;26606
0;972785;26606
0;972815;26606
0;972706;26594
0;972726;26594
0;972755;26606
0;972736;26594
0;972785;26606
0;972785;26594
0;972765;26606
0;972755;26594
0;972716;26594
0;972785;26606
0;972785;26606
0;972815;26612
0;972795;26606
0;972785;26606
0;972834;26606
0;972854;26612
0;972854;26612
0;972834;26612
0;972795;26606
0;972795;26606
0;972805;26606
0;972815;26606
0;972864;26612
0;972815;26606
0;972795;26606
0;972844;26606
0;972834;26612
0;972805;26606
0;972785;26606
0;972795;26606
0;972795;26606
0;972785;26594
0;972815;26594
0;972844;26606
0;972844;26606
0;972834;26606
0;972795;26594
0;972825;26606
0;972844;26606
0;972815;26606
0;972815;26606
0;972825;26606
0;972775;26594
0;972825;26606
0;972795;26606
0;972815;26606
0;972815;26606
0;972815;26606
0;972834;26606
0;972834;26594
0;972785;26606
0;972825;26606
0;972844;26606
0;972834;26606
0;972785;26594
0;972795;26594
0;972795;26594
0;972755;26594
0;972815;26606
0;972825;26606
0;972805;26587
0;972864;26606
0;972805;26594
0;972785;26587
0;972834;26606
0;972795;26587
0;972785;26594
0;972775;26587
0;972785;26594
0;972815;26606
0;972844;26606
0;972815;26594
0;972854;26606
0;972844;26606
0;972894;26606
0;972795;26594
0;972795;26587
0;972825;26606
0;972834;26594
0;972825;26594
0;972834;26587
0;972834;26606
0;972815;26594
0;972815;26594
0;972795;26594
0;972844;26587
0;972785;26594
0;972785;26587
0;972765;26594
0;972874;26606
0;972874;26606
0;972854;26594
0;972795;26594
0;972844;26606
0;972795;26587
0;972765;26587
0;972795;26594
0;972785;26587
0;972854;26606
0;972854;26606
0;972815;26594
0;972785;26594
0;972765;26587
0;972854;26606
0;972854;26606
0;972844;26606
0;972815;26594
0;972775;26594
0;972864;26606
0;972785;26594
0;972805;26594
0;972844;26606
0;972775;26594
0;972815;26594
0;972795;26594
0;972874;26606
0;972795;26594
0;972745;26587
0;972815;26606
0;972785;26594
0;972805;26594
0;972815;26594
0;972834;26594
0;972785;26594
0;972795;26594
0;972854;26606
0;972785;26594
0;972795;26594
0;972795;26594
0;972755;26581
0;972775;26581
0;972765;26581
