Terminal log file
Date: 13-06-2016 - 16:41:18
-----------------------------------------------
MPL115A1_Pressure;BMP180_Pressure;BMP180_Temperature
967128;973004;26525
966294;972795;26525
966294;972795;26525
967128;972765;26525
966294;972706;26506
966294;972765;26525
966294;972795;26525
965857;972765;26525
965857;972795;26531
967128;972765;26531
966294;972736;26531
965857;972795;26531
967128;972736;26525
965857;972795;26525
967128;972795;26531
966294;972795;26531
965857;972765;26525
966294;972765;26525
967525;972795;26531
966294;972676;26525
966294;972736;26531
965023;972795;26531
966294;972765;26550
966294;972825;26550
966294;972765;26525
967128;972795;26531
965857;972736;26531
966294;972736;26531
966294;972676;26550
965857;972795;26531
966294;972795;26531
967128;972795;26538
965857;972795;26550
965857;972765;26525
966294;972795;26531
966294;972795;26531
966294;972825;26531
966294;972736;26538
966294;972854;26550
967128;972736;26531
967128;972736;26531
967525;972765;26531
966294;972825;26531
966294;972736;26538
965857;972795;26531
967525;972706;26538
965857;972765;26550
967128;972765;26550
965857;972825;26550
966294;972825;26550
965857;972825;26550
966294;972706;26538
965857;972825;26550
966294;972795;26531
965857;972795;26531
967525;972706;26525
966294;972706;26525
967525;972795;26531
967128;972765;26525
966294;972736;26531
965857;972736;26531
966651;972736;26531
966294;972884;26550
965857;972646;26531
965857;972646;26525
965857;972825;26550
967525;972795;26531
966294;972676;26531
966294;972765;26550
966294;972646;26531
966294;972646;26538
966294;972736;26550
965857;972795;26538
968796;972795;26531
967128;972736;26531
966294;972765;26531
966294;972795;26538
966294;972795;26538
965857;972736;26531
966294;972736;26531
965857;972736;26531
967128;972825;26550
965857;972676;26538
965857;972736;26538
966294;972676;26531
966294;972646;26531
967525;972765;26550
967525;972825;26550
966294;972795;26531
966294;972706;26556
966294;972676;26531
965857;972736;26531
966294;972765;26538
966294;972736;26550
966294;972825;26538
966294;972736;26538
965857;972825;26550
966294;972676;26538
967128;972736;26538
966294;972884;26550
966294;972825;26550
965857;972676;26550
964586;972765;26550
966294;972795;26550
967525;972765;26550
965857;972765;26531
966294;972825;26550
966294;972825;26550
966294;972646;26538
966294;972825;26556
966294;972825;26550
965857;972765;26550
966294;972795;26538
966294;972854;26538
966294;972795;26538
967128;972825;26550
967525;972736;26550
965857;972706;26538
966294;972736;26531
967525;972884;26550
966294;972646;26531
967525;972795;26531
966294;972825;26550
965857;972825;26550
966294;972736;26531
965857;972736;26538
966294;972825;26550
967128;972825;26550
965857;972795;26538
966294;972825;26531
967525;972795;26538
967128;972795;26550
967525;972616;26525
966294;972825;26550
966294;972795;26531
966294;972736;26538
966294;972795;26538
965857;972765;26525
967525;972795;26538
967128;972795;26538
967525;972795;26531
967525;972795;26538
965857;972736;26550
966294;972795;26531
966294;972825;26538
