Terminal log file
Date: 2016-06-13 - 09:10:35
-----------------------------------------------
MPL115A1_Pressure;BMP180_Pressure;BMP180_Temperature
972794;978943;25113
972792;978921;25100
972772;978947;25101
972606;978957;25095
972899;978944;25093
972904;978956;25094
973109;978965;25096
973139;979001;25094
973293;979024;25096
973296;979027;25093
973134;979024;25091
973030;979042;25093
972921;979056;25095
973164;979060;25096
973504;979075;25096
973003;979062;25092
973055;979064;25093
973268;979059;25086
973082;979050;25083
973189;979067;25078
973033;979059;25076
973298;979082;25076
972923;979090;25070
973452;979117;25070
972762;979135;25066
973427;979098;25053
973455;979140;25053
973400;979132;25054
973318;979126;25050
973186;979142;25041
973293;979147;25044
973345;979190;25046
973417;979194;25041
973288;979199;25034
973392;979222;25037
973261;979230;25030
973214;979221;25024
973129;979232;25025
973132;979228;25023
972963;979223;25027
973209;979224;25026
973425;979221;25023
973291;979232;25020
973229;979243;25022
973263;979229;25020
973365;979217;25014
973447;979257;25019
973251;979236;25018
973181;979249;25020
973311;979232;25019
973450;979258;25021
973154;979286;25021
973368;979284;25021
973450;979306;25023
972983;979301;25021
973236;979307;25013
973234;979310;25011
973119;979332;25012
973231;979332;25000
973251;979364;24996
973149;979370;24998
973199;979387;24999
973363;979391;25001
973576;979384;24999
972976;979405;25000
973219;979403;25002
973469;979421;25008
973152;979404;25005
973201;979384;25006
973447;979378;25005
973095;979379;25003
973229;979395;24998
973067;979412;24996
973100;979436;24994
973189;979461;24989
973281;979447;24989
973117;979461;24990
973333;979495;24991
972849;979521;24993
973194;979525;24995
973251;979541;24987
973333;979548;24989
973358;979570;24989
973251;979587;24989
973268;979577;24986
973182;979583;24983
973281;979588;24986
973060;979588;24988
973085;979572;24987
973422;979577;24977
973110;979573;24971
973368;979556;24971
973219;979543;24968
973353;979551;24972
972976;979597;24976
973082;979578;24969
973293;979592;24970
973110;979607;24971
972951;979596;24969
973149;979598;24967
973189;979615;24966
972971;979600;24959
973110;979623;24958
973050;979665;24965
973095;979630;24962
972849;979664;24960
973082;979706;24954
973134;979695;24948
973030;979704;24954
973115;979685;24954
973139;979709;24956
973194;979719;24963
973082;979732;24963
973102;979734;24966
973224;979753;24965
973105;979789;24964
973519;979829;24969
973134;979807;24968
972859;979806;24968
972966;979798;24964
973137;979844;24966
973164;979793;24952
973137;979810;24954
973125;979841;24953
973177;979850;24955
973395;979880;24954
973055;979901;24950
973154;979924;24949
973142;979917;24950
973157;979922;24948
973134;979956;24948
973457;979978;24947
973370;979926;24946
973333;979980;24951
973323;979979;24949
973164;980003;24955
973244;979966;24951
973206;979991;24950
973298;979990;24948
972981;980000;24947
973209;980001;24947
973425;980011;24946
973055;980006;24945
973306;980002;24945
973489;980008;24945
973268;980021;24945
973234;980032;24941
973432;980056;24924
973239;980059;24900
973442;980079;24895
973020;980086;24902
972963;980083;24911
973067;980097;24920
973134;980051;24920
973273;980043;24923
973742;980038;24922
973467;980063;24925
973591;980080;24925
973018;980081;24927
973613;980122;24926
973122;980120;24925
973487;980115;24921
973246;980128;24920
973507;980140;24922
973668;980172;24921
973450;980186;24919
973378;980184;24917
973606;980198;24917
973323;980221;24916
973345;980202;24914
973420;980251;24916
973360;980228;24915
973742;980241;24916
