Terminal log file
Date: 2016-06-13 - 08:51:10
-----------------------------------------------
MPL115A1_Pressure;BMP180_Pressure;BMP180_Temperature
971767;978809;23048
972144;978828;23057
972156;978833;23060
971881;978852;23060
971767;978852;23061
972020;978856;23063
972055;978790;23055
971906;978779;23057
971340;978787;23061
971603;978740;23064
971918;978720;23068
971715;978708;23069
971496;978730;23075
971774;978709;23079
971658;978704;23080
971477;978699;23086
971563;978667;23085
971395;978688;23094
971328;978664;23093
971722;978665;23095
971427;978658;23093
971581;978655;23098
971578;978625;23096
971318;978609;23102
971370;978594;23104
971402;978559;23099
971047;978559;23097
971243;978535;23096
971266;978528;23098
971300;978541;23103
971347;978568;23112
971300;978552;23109
971139;978560;23114
971323;978551;23117
970975;978562;23115
971164;978559;23123
971223;978546;23119
971196;978535;23121
971278;978517;23129
971223;978546;23135
971092;978495;23136
971218;978447;23137
971146;978450;23146
971211;978431;23144
971323;978437;23152
971114;978429;23155
971198;978399;23150
971035;978379;23153
971114;978355;23152
971040;978372;23153
971196;978363;23152
971176;978374;23151
971357;978344;23155
971278;978324;23150
971412;978357;23163
971199;978300;23162
971144;978317;23170
971064;978345;23181
971092;978311;23185
971146;978301;23185
971253;978291;23192
971198;978265;23185
971097;978286;23194
971198;978275;23194
971362;978234;23194
971278;978233;23194
971176;978251;23194
971253;978244;23194
971236;978242;23194
971196;978211;23194
971176;978178;23194
971097;978164;23194
971362;978136;23195
971203;978100;23195
971151;978063;23196
971126;978038;23197
971181;978029;23199
971174;978022;23205
971253;978015;23208
971417;977978;23207
971315;978007;23211
971186;978039;23211
971092;978000;23208
971035;977983;23211
971047;978019;23214
971390;978005;23219
971551;977966;23221
971389;977943;23223
971184;977962;23230
971280;977957;23234
971340;977955;23237
971268;977934;23241
971392;977928;23245
971213;977918;23247
971320;977938;23255
971531;977905;23250
971372;977882;23256
971263;977872;23257
971035;977873;23256
971159;977857;23248
971211;977871;23247
971139;977876;23246
971236;977859;23247
971504;977870;23250
971318;977857;23256
970935;977845;23260
971243;977844;23262
971377;977832;23268
971315;977784;23266
971134;977805;23278
971298;977809;23286
971241;977818;23291
971114;977777;23289
970950;977755;23294
970851;977752;23295
970801;977752;23296
971089;977741;23297
970982;977767;23296
971169;977768;23297
970985;977746;23300
971067;977739;23304
971146;977722;23304
971382;977712;23307
970863;977721;23310
971174;977687;23314
971357;977680;23316
970886;977664;23321
971094;977632;23323
970754;977605;23325
970551;977566;23324
971389;977581;23329
970866;977565;23329
971067;977558;23328
970737;977567;23336
970908;977565;23339
971015;977533;23336
970682;977527;23329
970732;977553;23326
970752;977562;23337
971181;977555;23342
970883;977504;23337
970893;977514;23346
970365;977478;23353
970680;977491;23357
970578;977465;23357
970702;977432;23356
970709;977447;23363
970556;977470;23362
970546;977442;23368
970312;977426;23370
970841;977427;23373
970422;977459;23379
970558;977458;23381
970784;977429;23371
970849;977435;23374
970240;977422;23370
970471;977425;23371
970292;977434;23378
970491;977429;23382
970528;977391;23388
970139;977365;23388
970218;977383;23397
970034;977337;23399
970399;977311;23408
970062;977288;23409
970352;977256;23408
970245;977252;23414
970054;977257;23419
970067;977269;23425
970215;977242;23427
970037;977257;23429
970404;977239;23424
969952;977225;23425
970409;977214;23429
970010;977167;23434
969826;977172;23438
970091;977171;23448
970096;977146;23451
970062;977144;23458
969982;977131;23461
969908;977136;23466
969724;977119;23468
970114;977129;23474
970146;977114;23473
970069;977162;23479
970278;977131;23480
970228;977121;23482
969930;977123;23491
970171;977137;23495
970203;977162;23499
970203;977178;23500
970178;977181;23500
970069;977210;23499
969935;977197;23501
970171;977203;23502
970280;977175;23501
970305;977181;23513
969990;977193;23523
970392;977193;23528
970312;977196;23534
969746;977175;23537
970685;977162;23539
970069;977175;23543
970022;977172;23548
970126;977190;23560
970017;977172;23562
970072;977187;23572
970022;977196;23580
969836;977167;23581
969761;977197;23585
970233;977231;23596
969764;977224;23599
970181;977200;23601
970270;977225;23613
970211;977250;23620
969781;977222;23619
969709;977228;23628
970315;977219;23638
970077;977208;23637
970265;977194;23646
970213;977186;23653
970350;977239;23664
970052;977226;23677
970114;977228;23686
970059;977215;23686
970000;977233;23689
970298;977234;23692
970186;977236;23698
970089;977233;23702
970300;977223;23706
969637;977217;23709

-----------------------------------------------
Date: 2016-06-13 - 08:56:45
End log file
